pickup_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount,tolls_amount
6/1/2016 12:00,2,1.519999981,-74.00621796,40.72317123,-73.99349976,40.74066162,11,2.950000048,0
6/1/2016 12:00,1,1.029999971,-73.98683929,40.73970032,-73.99456024,40.72676849,8.5,1.860000014,0
6/1/2016 12:00,1,2.099999905,-73.96363831,40.7770195,-73.98514557,40.75297165,20,4.150000095,0
6/1/2016 12:00,1,1.600000024,-74.00005341,40.71785736,-73.98142242,40.7247467,11,1.200000048,0
6/1/2016 12:00,1,1.5,-73.96673584,40.78900146,-73.95754242,40.77436829,11,1.5,0
6/1/2016 12:00,1,0.699999988,-73.96928406,40.76416779,-73.9807663,40.76761627,6.5,1.450000048,0
6/1/2016 12:00,1,1.700000048,-73.99848175,40.76081467,-73.98318481,40.76771164,9,1.950000048,0
6/1/2016 12:00,1,20.5,-73.78765869,40.64151382,-73.99295807,40.7527771,52,11.64999962,5.539999962
6/1/2016 12:00,1,2.130000114,-74.00823212,40.73749161,-73.99851227,40.76411057,16.5,0,0
6/1/2016 12:00,5,0.75999999,-73.97959137,40.78378677,-73.9885025,40.77866364,6,0,0
6/1/2016 12:00,5,0,-73.97959137,40.78378677,-73.95751953,40.77448654,2.5,5,0
6/1/2016 12:00,1,3.400000095,-73.99240875,40.73750687,-73.96429443,40.77045822,21.5,4.449999809,0
6/1/2016 12:00,2,19.39999962,-73.9526062,40.7705307,-73.78353882,40.64362717,52,0,5.539999962
6/1/2016 12:00,1,1,-73.95771027,40.77973557,-73.95175171,40.79203415,6,0,0
6/1/2016 12:00,2,0.879999995,-74.00151825,40.74747849,-73.99234009,40.75819016,9,0,0
6/1/2016 12:00,1,2.00999999,-73.98500824,40.76054001,-73.98648834,40.77981186,11.5,0,0
6/1/2016 12:00,1,3.950000048,-74.01434326,40.71382904,-73.9828186,40.75595856,24,0,0
6/1/2016 12:00,1,1.299999952,-73.98731995,40.77185822,-73.97654724,40.78807068,7.5,1.659999967,0
6/1/2016 12:00,1,3.190000057,-73.99185181,40.73847198,-73.98564911,40.77055359,20,0,0
6/1/2016 12:00,5,0.850000024,-73.97403717,40.75748062,-73.96565247,40.76834869,7,0,0
6/1/2016 12:00,6,1.429999948,-74.00818634,40.7103157,-74.0069809,40.7284317,11.5,0,0
6/1/2016 12:00,1,1.440000057,-73.97988892,40.76158524,-73.99025726,40.74752808,12,2.559999943,0
6/1/2016 12:00,1,1.919999957,-73.95695496,40.80102539,-73.93609619,40.81869888,9.5,0,0
6/1/2016 12:00,1,1.899999976,-73.99079895,40.73953247,-74.00502777,40.71588898,13,0,0
6/1/2016 12:00,6,1.950000048,-73.99481964,40.72055054,-74.01424408,40.70456696,11,0,0
6/1/2016 12:00,1,1.779999971,-73.98382568,40.75515747,-73.99168396,40.73861313,9,0,0
6/1/2016 12:00,1,1.5,-73.96175385,40.77685165,-73.96655273,40.75997925,12,0,0
6/1/2016 12:00,1,0.74000001,-73.99588776,40.7639389,-73.98555756,40.76366043,5,1.159999967,0
6/1/2016 12:00,1,6.019999981,-74.01504517,40.70947266,-73.97369385,40.7501564,20.5,4.260000229,0
6/1/2016 12:00,2,1.200000048,-73.98217773,40.73184967,-73.97187805,40.74315643,6,0,0
6/1/2016 12:00,2,9.399999619,-73.86351013,40.77006149,-73.98918152,40.74637985,33.5,7.96999979,5.539999962
6/1/2016 12:00,1,1.899999976,-73.99421692,40.75101471,-73.97476196,40.75695419,26.5,0,0
6/1/2016 12:00,1,1.600000024,-74.00337982,40.74836349,-73.99085999,40.73336411,14,1,0
6/1/2016 12:00,1,1.179999948,-74.00533295,40.72927475,-74.01158905,40.71317673,9,1.960000038,0
6/1/2016 12:00,1,1.139999986,-73.9760437,40.75698853,-73.98116302,40.76784134,9,0,0
6/1/2016 12:00,1,5.300000191,-73.99772644,40.73613358,-73.94981384,40.77808762,31,0,0
6/1/2016 12:00,1,3.059999943,-73.97802734,40.68500137,-73.98307037,40.71484375,13.5,0,0
6/1/2016 12:00,6,0.649999976,-73.98145294,40.73716736,-73.98970032,40.73434067,5,0,0
6/1/2016 12:00,1,1.340000033,-73.97610474,40.75941086,-73.98387146,40.74337387,10.5,2.25999999,0
6/1/2016 12:00,1,0,-73.95676422,40.78667068,0,0,19,0,0
6/1/2016 12:00,1,0.800000012,-73.97676849,40.78014755,-73.97980499,40.77108002,7,1.549999952,0
6/1/2016 12:00,1,2.099999905,-73.9914856,40.75010681,-74.00141144,40.7244072,14,4.400000095,0
6/1/2016 12:00,1,1.700000048,-73.96356201,40.77438736,-73.9618988,40.75573349,12,0,0
6/1/2016 12:00,1,2.299999952,-73.96218109,40.77038574,-73.9881134,40.75105286,24,0,0
6/1/2016 12:00,1,0.800000012,-73.98757935,40.76554871,-73.98416901,40.77510452,4.5,0,0
6/1/2016 12:00,1,0.5,-74.00521088,40.72015762,-74.0072403,40.72704315,5.5,1,0
6/1/2016 12:00,1,1.419999957,-73.98219299,40.74563599,-73.98091125,40.73062515,9,0,0
6/1/2016 12:00,6,22.42000008,-73.78945923,40.64307785,-74.01496887,40.71588516,52,11.65999985,5.539999962
6/1/2016 12:00,1,0.400000006,-73.98960876,40.76763535,-73.989151,40.77164459,4.5,0,0
6/1/2016 12:00,1,1.899999976,-73.97828674,40.75797653,-73.98614502,40.74188232,12,2.549999952,0
6/1/2016 12:00,1,1.100000024,-73.97935486,40.7497139,-73.97396851,40.76290894,9,0,0
6/1/2016 12:00,5,0.800000012,-73.96853638,40.79159546,-73.97045898,40.79906845,6.5,1,0
6/1/2016 12:00,5,2.839999914,-74.00570679,40.70922852,-74.0080719,40.7395401,18,3.75999999,0
6/1/2016 12:00,2,0.75999999,-73.96903992,40.76176834,-73.96244049,40.7550087,7.5,0,0
6/1/2016 12:00,1,1,-73.98254395,40.75715256,-73.98151398,40.7685051,6,1.350000024,0
6/1/2016 12:00,1,1.899999976,-73.950737,40.77909088,-73.96999359,40.75977707,14.5,3.049999952,0
